origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude,distancia_text,distancia_value,duracao_text_Google,duracao_value_Google,endereco_origem,endereco_destino
-21.586401,-45.47072,-23.425529,-46.487609,321 km,320880.0,4 hours 8 mins,14896.0,"Av. José Ribeiro Tristão, 1699 - Aeroporto, Varginha - MG, 37031-075, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.613097,-46.545183,-29.747888,-57.083624,"1,583 km",1582790.0,21 hours 8 mins,76084.0,"Av. Prosperidade, 300 - Prosperidade, São Caetano do Sul - SP, 09220-590, Brazil","Av. Min. Assis Brasil, 4485 - Santo Inacio, Uruguaiana - RS, 97511-800, Brazil"
-23.747239,-46.559391,-23.922774,-46.318757,66.0 km,66047.0,1 hour 10 mins,4177.0,"Av. Nicola Demarchi, 1500 - Parque Botujuru, São Bernardo do Campo - SP, 09820-655, Brazil","Unnamed Road, Santos - SP, Brazil"
-21.286838,-46.692812,-23.922774,-46.318757,384 km,383663.0,4 hours 55 mins,17699.0,"BR-146, nº 100, Guaxupé - MG, 37800-000, Brazil","Unnamed Road, Santos - SP, Brazil"
-23.494815,-46.843764,-23.425529,-46.487609,49.7 km,49656.0,50 mins,2973.0,"Alameda Amazonas, 330 - Alphaville Industrial, Barueri - SP, 06454-070, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-22.842349,-47.150053,-25.511146,-54.565616,"1,056 km",1056205.0,12 hours 45 mins,45927.0,"Av. Comendador Aladino Selmi, 5216 - Vila San Martin, Campinas - SP, 13069-096, Brazil","Rua Edgard Schimmelpfeng, 640 - Imóvel Acaraizinho, Foz do Iguaçu - PR, 85863-640, Brazil"
-23.58439,-46.677267,-23.425529,-46.487609,33.8 km,33845.0,47 mins,2849.0,"Rua Urussuí, 84 - Itaim Bibi, São Paulo - SP, 04542-050, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.747239,-46.559391,-23.425529,-46.487609,49.3 km,49292.0,1 hour 7 mins,4033.0,"Av. Nicola Demarchi, 1500 - Parque Botujuru, São Bernardo do Campo - SP, 09820-655, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-12.832,-38.4034,-23.926389,-46.341944,"2,008 km",2007629.0,1 day 4 hours,101177.0,"Unnamed Road, Simões Filho - BA, 43700-000, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-19.706232,-47.979743,-23.970583,-46.296805,573 km,572558.0,7 hours 4 mins,25464.0,"Av. Cel. Zacarias Borges de Araújo, 532 - Distrito Industrial I, Uberaba - MG, 38064-700, Brazil","Av. Gov. Mário Covas Júnior, 1285 - Porto Macuco, Santos - SP, 11020-300, Brazil"
-23.681718,-46.697327,-23.927778,-46.371111,61.1 km,61063.0,1 hour 6 mins,3980.0,"Av. das Nações Unidas, 22428 - Jurubatuba, São Paulo - SP, 04775, Brazil","Rod. Anchieta - Chico de Paula, Santos - SP, 11095-000, Brazil"
-29.715709,-51.111095,-32.030602,-52.094417,352 km,351522.0,4 hours 39 mins,16769.0,"Estr. Leopoldo Petri, 255 - Santo Afonso, Novo Hamburgo - RS, 93425-320, Brazil","R. Ewbank, 35 - Centro, Rio Grande - RS, 96200-080, Brazil"
-23.947927,-46.315956,-19.022251,-57.689835,"1,479 km",1478834.0,17 hours 54 mins,64460.0,"Av. Álvaro Fontes, 17 - Docas, Santos - SP, 11013-720, Brazil","Rod. Ramon Gomes - Corumbá, MS, Brazil"
