origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude
-22.828385,-43.246138,-22.930628,-43.838309
-3.130691,-59.964117,4.480429,-61.149013
-23.859532,-46.351225,-23.962603,-46.297071
-23.538573,-46.755232,-23.922774,-46.318757
-26.903933,-48.711630,-23.425529,-46.487609
-23.928333,-46.369167,-23.922774,-46.318757
-19.375669,-43.575430,-29.771832,-57.045485
-23.494815,-46.843764,-23.927778,-46.371111
-22.773508,-43.409072,-22.828385,-43.246138
-26.904543,-48.656028,-23.947500,-46.277222
-23.927778,-46.371111,-23.922774,-46.318757
-22.842349,-47.150053,-28.590784,-56.030806
-23.423586,-47.358660,-23.927778,-46.371111
-22.722030,-47.594940,-23.962603,-46.297071
-26.241231,-48.879787,-23.425529,-46.487609
-26.241231,-48.879787,-25.532708,-49.174669
-22.811720,-43.287049,-22.828385,-43.246138
-5.764685,-35.375289,-8.128981,-34.918344
-23.494815,-46.843764,-23.926389,-46.341944
-20.328086,-40.309449,-23.922908,-46.353124
-25.517412,-49.343685,-26.242207,-48.638987
-12.832000,-38.403400,-12.914071,-38.328995
-23.423586,-47.358660,-23.926389,-46.341944
-19.375669,-43.575430,-1.387621,-48.479569
-23.223612,-45.861625,-25.595218,-54.488828
-5.764685,-35.375289,-23.425529,-46.487609
18.856357,41.941383,-19.632770,-43.964248
-23.573073,-46.604626,-23.924656,-46.345949
-23.538573,-46.755232,-23.922908,-46.353124
-22.805000,-43.237600,-22.828385,-43.246138
-22.842349,-47.150053,-23.931667,-46.365000
-20.227518,-40.368443,-23.008442,-47.144659
-22.805000,-43.237600,-23.425529,-46.487609
-22.875688,-47.124929,-23.970583,-46.296805
-18.856357,-43.575430,-23.425529,-46.487609
-23.223616,-45.861625,-3.029735,-60.041227
-23.927778,-46.371111,-23.962603,-46.297071
-20.328086,-40.309449,-20.328086,-40.309449
-22.375077,-41.780680,-22.828385,-43.246138
-23.425529,40.983090,-29.989934,-51.176718
-20.227518,-40.368443,-22.828385,-43.246138
-18.856357,-43.575430,-8.128981,-34.918344
-22.875688,-47.124929,-29.747888,-57.083624
-22.313276,-49.133789,-23.425529,-46.487609
-18.856357,-41.941383,-22.804953,-43.256672
-20.328086,-40.309449,-23.962603,-46.297071
-16.632042,-49.228669,-15.872229,-47.922192
-23.681718,-46.697327,-28.590784,-56.030806
-22.223380,-45.873405,-23.425529,-46.487609
-22.895512,-43.183987,-22.828385,-43.246138
-22.895512,-43.183987,-25.511146,-54.565616
-22.375077,-41.780680,-22.895512,-43.183987
-21.586401,-45.470720,-23.925556,-46.341944
18.856357,41.941383,-23.425529,-46.487609
-23.931667,-46.365000,-23.922774,-46.318757
-22.842349,-47.150053,-23.924612,-46.344577
-22.313276,-49.133789,-23.970583,-46.296805
-23.642804,-46.325548,-23.642804,-46.325548
-23.573073,-46.604626,-23.573073,-46.604626
-26.904543,-48.656028,-23.425529,-46.487609
-21.586401,-45.470720,-23.008442,-47.144659
-23.931667,-46.365000,-23.928333,-46.369167
-23.515852,-46.720741,-23.425529,-46.487609
-23.425529,-46.487609,-23.425529,-46.487609
-26.904543,-48.656028,-26.950575,-48.750261
-22.873014,-43.230902,-22.930628,-43.838309
-23.748410,-46.583398,-25.511146,-54.565616
-12.970800,-38.513900,-28.234812,-48.667916
-23.262304,-45.950952,-23.970583,-46.296805
-22.530099,-43.065578,-22.828385,-43.246138
-18.856357,-41.941383,-22.828385,-43.246138
-16.397060,-48.932505,-16.397060,-48.932505
-12.832000,-38.403400,-23.924612,-46.344577
-25.517412,-49.321523,-32.533532,-53.356914
-22.842349,-47.150053,-23.957539,-46.275117
-23.747239,-46.559391,-23.924612,-46.344577
-22.842349,-47.150053,-29.747888,-57.083624
-25.595218,-54.488828,-8.128981,-34.918344
